ID,preco
24813264385557040124808779273028388499,170945.28
295636316453795508942188530111300065666,242822.36
101258309166227950735244624080888109884,51724.492
28348734455782469411126661985772047409,354841.75
193163160502972147671913739170248305797,268240.94
139253630820409254168638205788326666528,67835.64
326419999691485719634639600759445224896,80626.47
156628370616815763571334368907335612965,207507.33
36614410630357613931262379258535860898,136289.0
291271888210612274188960413687029000366,102754.37
123391565781278664516139635130262687131,94076.016
123706016861869402593139363350178946109,105637.6
36632577625670249282745154628154771956,75087.25
164207595063444188201781760346040950101,110355.11
239955085429338493258803589990879190331,106182.055
69245480563980661813837672936667978073,80260.59
213083299276273770441012668108180731534,90255.555
318159762424298853917632625763830087825,285129.66
33117132854758695177972115283474846588,92544.6
88691358898287974383112409767244045575,119564.23
104291660125102256822964448683795800829,134853.25
229159049944290757731992432258835580843,81752.875
266762076297176898039742519457728636794,251728.97
104580115312884789809424369774941896788,285001.5
198749598127132169075473932214557525537,74943.33
123052955459382316472159620428895623465,123410.016
274967927992094175606306142032269903560,106915.47
94029055283268215743939664009292516397,128135.34
316578267456959884921976601380284250110,62924.586
306685910665250798444039816450779149649,99055.87
66188027549532863985405599220925581449,144842.72
134376189051393721209029719875324497592,123503.63
196852379045120150434314692968333478877,120897.59
194896253925792256227269282874037598624,111876.64
30802913571397204261055892050656735204,149844.0
311594726202050728936634725325305285941,139686.75
56844591140680249279081033814842458251,147340.42
287932267471201009088612783110160474077,120242.62
227707541582330630651928671952232686013,115292.93
159865565498151686879177908437186969038,95213.86
213134344122764704997927180701963458068,83365.4
297237340057109307358959850637282327720,110823.49
39707508005092033474162988356547803403,136205.14
238883064995760960612489258822141116363,149844.0
328910600247775907684540774590673241956,96444.55
236443163133501554079465818887790419849,131459.95
339086611587907933259827091023380074017,82329.766
46762682352639841018005998314762241314,259956.53
332851965360873278751690249890598375787,122513.58
318962844431368296188428342222111798753,280454.38
29508733157411291188236397269743090442,123218.78
303899172930803198024495387312850315642,126221.16
147829693968192690980098974989103235349,145875.81
311952951456192568648075675322657702346,138472.4
214816736410055860693875412617840710187,186258.31
114342436621935401359342391703516446050,190973.67
105262926829261771335255175229497885298,67633.16
322757841954279565741052983110073930012,135947.62
87414772137318321056123452036506901451,77692.16
223712323530225776358311832143332374347,69419.25
79580031853927560411469032076370094174,79995.766
265553325344719242763690405389117404391,90447.5
146362474592218570897268283516726744173,91962.734
220100655478069334717968847612868495093,92509.39
194649061979690036596547232860495078676,74770.96
110302618697904040920367837020821736696,150288.48
67541029598097310843066980947045387347,130336.39
326659650604085308594008997463481485542,112539.15
192629759139105254963681311828877536485,110307.26
69841710307063976164565845258080626474,67935.4
249409999947534645866018577008644108808,116034.81
85866492976659266017671403272270701589,82334.48
262690598736005095491981277995787534235,52087.715
264871944513586820378114060586798646134,80302.016
65007011447431746792723280259168964989,82194.586
